match_id,season,date,team1,team2,venue,city,toss_winner,toss_decision,winner,win_by_runs,win_by_wickets,player_of_match,match_number,result_type,result_margin
2010_42,2010,2010-04-10,SRH,CSK,VCA Stadium,Nagpur,CSK,bat,SRH,0,6,RJ Harris,42,wickets,6
2010_43,2010,2010-04-10,RCB,KKR,M Chinnaswamy Stadium,Bangalore,RCB,field,RCB,0,7,R Vinay Kumar,43,wickets,7
2010_44,2010,2010-04-11,DD,KXIP,Arun Jaitley Stadium,Delhi,DD,bat,KXIP,0,7,PP Chawla,44,wickets,7
2010_48,2010,2010-04-13,CSK,KKR,MA Chidambaram Stadium,Chennai,KKR,bat,CSK,0,9,R Ashwin,48,wickets,9
2010_49,2010,2010-04-14,RR,RCB,Sawai Mansingh Stadium,Jaipur,RR,bat,RCB,0,5,KP Pietersen,49,wickets,5
2010_50,2010,2010-04-15,CSK,DD,MA Chidambaram Stadium,Chennai,CSK,bat,DD,0,6,G Gambhir,50,wickets,6
2010_51,2010,2010-04-16,KXIP,SRH,HPCA Stadium,Dharamsala,SRH,field,SRH,0,5,RG Sharma,51,wickets,5
2010_53,2010,2010-04-17,KKR,RR,Eden Gardens,Kolkata,RR,bat,KKR,0,8,JD Unadkat,53,wickets,8
2010_55,2010,2010-04-18,KXIP,CSK,HPCA Stadium,Dharamsala,CSK,field,CSK,0,6,MS Dhoni,55,wickets,6
2010_56,2010,2010-04-19,KKR,MI,Eden Gardens,Kolkata,MI,bat,KKR,0,9,M Kartik,56,wickets,9
2010_59,2010,2010-04-24,RCB,SRH,Dr DY Patil Sports Academy,Mumbai,SRH,bat,RCB,0,9,A Kumble,59,wickets,9
2011_02,2011,2011-04-09,SRH,RR,Rajiv Gandhi Intl. Stadium,Hyderabad,RR,field,RR,0,8,SK Trivedi,2,wickets,8
2011_03,2011,2011-04-09,KTK,RCB,Nehru Stadium,Kochi,KTK,bat,RCB,0,6,AB de Villiers,3,wickets,6
2011_04,2011,2011-04-10,PW,KXIP,Dr DY Patil Sports Academy,Mumbai,KXIP,bat,PW,0,7,SB Wagh,4,wickets,7
2011_05,2011,2011-04-10,DD,MI,Arun Jaitley Stadium,Delhi,DD,bat,MI,0,8,SL Malinga,5,wickets,8
2011_07,2011,2011-04-12,RCB,MI,M Chinnaswamy Stadium,Bangalore,MI,field,MI,0,9,SR Tendulkar,7,wickets,9
2011_08,2011,2011-04-12,RR,DD,Sawai Mansingh Stadium,Jaipur,DD,bat,RR,0,6,SK Warne,8,wickets,6
2011_10,2011,2011-04-13,PW,KTK,Dr DY Patil Sports Academy,Mumbai,KTK,bat,PW,0,4,MD Mishra,10,wickets,4
2011_09,2011,2011-04-13,KXIP,CSK,PCA IS Bindra Stadium,Chandigarh,KXIP,field,KXIP,0,6,PC Valthaty,9,wickets,6
2011_12,2011,2011-04-15,RR,KKR,Sawai Mansingh Stadium,Jaipur,KKR,field,KKR,0,9,G Gambhir,12,wickets,9
2011_13,2011,2011-04-15,MI,KTK,Wankhede Stadium,Mumbai,KTK,field,KTK,0,8,BB McCullum,13,wickets,8
2011_14,2011,2011-04-16,SRH,KXIP,Rajiv Gandhi Intl. Stadium,Hyderabad,KXIP,field,KXIP,0,8,PC Valthaty,14,wickets,8
2011_16,2011,2011-04-17,KKR,RR,Eden Gardens,Kolkata,KKR,field,KKR,0,8,L Balaji,16,wickets,8
2011_17,2011,2011-04-17,PW,DD,Dr DY Patil Sports Academy,Mumbai,DD,field,DD,0,3,Yuvraj Singh,17,wickets,3
2011_18,2011,2011-04-18,KTK,CSK,Nehru Stadium,Kochi,KTK,field,KTK,0,7,BB McCullum,18,wickets,7
2011_21,2011,2011-04-20,MI,PW,Wankhede Stadium,Mumbai,PW,bat,MI,0,7,MM Patel,21,wickets,7
2011_23,2011,2011-04-22,KKR,RCB,Eden Gardens,Kolkata,RCB,field,RCB,0,9,CH Gayle,23,wickets,9
2011_26,2011,2011-04-24,RR,KTK,Sawai Mansingh Stadium,Jaipur,RR,field,RR,0,8,SK Warne,26,wickets,8
