bowler,bowled,caught,caught and bowled,hit wicket,lbw,obstructing the field,retired hurt,retired out,run out,stumped
AJ Finch,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AJ Hosein,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AJ Tye,5.0,35.0,1.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0
AK Markram,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL Menaria,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
AM Nayar,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AM Rahane,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AM Salvi,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
AN Ahmed,3.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0
AP Dole,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR Patel,34.0,64.0,6.0,1.0,7.0,0.0,0.0,0.0,8.0,11.0
AS Joseph,6.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
AS Rajpoot,3.0,18.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
AS Roy,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
AU Rashid,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Abdul Samad,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abhishek Sharma,1.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
Akash Deep,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Akash Madhwal,6.0,9.0,0.0,0.0,4.0,0.0,0.0,1.0,2.0,0.0
Akash Singh,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anand Rajan,1.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0
Ankit Sharma,2.0,8.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Ankit Soni,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0
Anureet Singh,6.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
Arjun Tendulkar,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Arshad Khan,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arshdeep Singh,13.0,58.0,4.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0
Avesh Khan,14.0,54.0,2.0,0.0,4.0,1.0,0.0,1.0,5.0,0.0
Azhar Mahmood,3.0,21.0,1.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0
Azmatullah Omarzai,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
B Akhil,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
B Geeves,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
B Kumar,39.0,122.0,6.0,0.0,12.0,0.0,0.0,0.0,14.0,2.0
B Laughlin,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
