match_id,season,team1,team2,winner,nrr
2012_12,2012,MI,RR,MI,1.4202479338842977
2012_13,2012,KXIP,PW,KXIP,-0.7677184081179629
2012_14,2012,CSK,RCB,CSK,-0.6029776674937963
2012_15,2012,KKR,RR,KKR,-0.5053884297520659
2012_16,2012,PW,CSK,PW,-0.36554621848739544
2012_17,2012,RCB,RR,RR,2.8694214876033053
2012_18,2012,KKR,KXIP,KXIP,0.1528248204850282
2012_19,2012,MI,DD,DD,-1.2736842105263158
2012_20,2012,RCB,PW,RCB,-0.12195121951219434
2012_21,2012,RR,SRH,RR,-0.12425806451612686
2012_22,2012,KXIP,KKR,KKR,-1.5216393442622937
2012_23,2012,DD,SRH,DD,-0.6918767507002812
2012_24,2012,CSK,PW,CSK,0.8257797920554522
2012_25,2012,KXIP,RCB,RCB,-0.016780487804878952
2012_26,2012,DD,PW,PW,0.4025220680958377
2012_27,2012,CSK,RR,CSK,-0.16730497883491147
2012_29,2012,SRH,KKR,KKR,-0.04958677685950441
2012_28,2012,MI,KXIP,KXIP,-0.3082314049586765
2012_30,2012,RR,RCB,RCB,2.152645161290324
2012_31,2012,PW,DD,DD,-1.7612244897959188
2012_32,2012,KXIP,MI,MI,-0.34146341463414664
2012_33,2012,PW,SRH,SRH,1.1334894613583142
2012_34,2012,DD,MI,DD,1.7101935483870978
2012_35,2012,KKR,RCB,KKR,2.217938630999213
2012_36,2012,CSK,KXIP,KXIP,0.21970731707317093
2012_38,2012,DD,RR,DD,0.10818253343823869
2012_37,2012,MI,SRH,MI,0.037904124860646426
2012_39,2012,CSK,KKR,KKR,0.1663145765315921
2012_40,2012,SRH,PW,SRH,0.9191404958677669
2012_41,2012,RR,DD,DD,-2.412273800157357
2012_42,2012,RCB,KXIP,KXIP,-0.5048387096774203
2012_43,2012,PW,MI,MI,0.18699186991869876
2012_44,2012,CSK,SRH,CSK,0.42782886845261814
2012_45,2012,KKR,PW,KKR,0.16722037652270227
2012_46,2012,KXIP,RR,RR,2.2338074676149358
2012_48,2012,MI,CSK,MI,-0.18380487804878065
2012_47,2012,RCB,SRH,RCB,-0.6579111944965597
2012_49,2012,DD,KKR,KKR,-0.30129124820660014
2012_50,2012,PW,RR,RR,-1.6167247386759582
2012_51,2012,SRH,KXIP,KXIP,1.2195121951219514
2012_52,2012,MI,RCB,RCB,-0.7412494461674779
2012_53,2012,SRH,DD,DD,-1.8618881118881134
2012_54,2012,RR,CSK,CSK,-0.5128205128205128
2012_55,2012,PW,RCB,RCB,1.4610247933884306
2012_57,2012,CSK,DD,CSK,-1.9473548387096766
2012_56,2012,KKR,MI,MI,1.2550979608156743
2012_58,2012,RR,PW,RR,2.2131147540983616
2012_59,2012,KXIP,SRH,KXIP,-0.2726909236305488
2012_60,2012,KKR,CSK,CSK,-0.09917355371900793
2012_61,2012,RCB,MI,MI,-0.4719389312977098
2012_62,2012,DD,KXIP,DD,-0.5605461731943944
2012_63,2012,MI,KKR,KKR,1.0240384615384617
2012_64,2012,DD,RCB,RCB,1.016129032258064
2012_65,2012,KXIP,CSK,KXIP,-1.3565174699288116
2012_66,2012,SRH,RR,SRH,-0.35700731905665517
2012_67,2012,KXIP,DD,DD,-0.8210662637599837
2012_68,2012,PW,KKR,KKR,1.7530407191961928
2012_69,2012,SRH,RCB,SRH,0.38709677419354804
2012_70,2012,RR,MI,MI,-0.9244992295839758
2012_71,2012,DD,KKR,KKR,0.9994711792702278
2012_72,2012,CSK,MI,CSK,2.0267131242740994
2012_73,2012,DD,CSK,CSK,3.1311550851357586
2012_74,2012,KKR,CSK,KKR,-0.09677419354838612
2013_01,2013,KKR,DD,KKR,-0.536886395511921
2013_02,2013,RCB,MI,RCB,-0.08577049180327911
2013_03,2013,SRH,PW,SRH,0.7706343549536712
2013_04,2013,DD,RR,RR,0.49570647931303746
2013_05,2013,CSK,MI,MI,0.4285714285714288
2013_06,2013,PW,KXIP,KXIP,-2.883116883116883
2013_07,2013,SRH,RCB,,0.10146341463414643
2013_08,2013,RR,KKR,RR,0.8319672131147549
2013_10,2013,MI,DD,MI,2.129032258064515
2013_09,2013,RCB,SRH,RCB,-1.108363636363637
2013_11,2013,KXIP,CSK,CSK,-1.0249493216903165
2013_12,2013,PW,RR,PW,-0.582001682085787
2013_13,2013,RCB,KKR,RCB,-0.8035943517329915
2013_14,2013,DD,SRH,SRH,-0.37545762711864317
2013_15,2013,MI,PW,MI,2.0558615263572007
2013_16,2013,CSK,RCB,CSK,-0.10948631421072452
2013_17,2013,RR,KXIP,RR,0.06085192697768793
2013_18,2013,KKR,SRH,KKR,2.2706530291109353
2013_19,2013,CSK,PW,PW,1.1803278688524594
2013_20,2013,RCB,DD,,-0.12057112638815504
2013_21,2013,KXIP,KKR,KXIP,0.31453658536585305
2013_22,2013,RR,MI,RR,3.50566924778761
2013_23,2013,PW,SRH,SRH,0.027789473684211252
2013_24,2013,DD,CSK,CSK,3.543192660550459
2013_25,2013,SRH,KXIP,SRH,-0.6350301984469366
2013_26,2013,RCB,RR,RCB,-0.5245316681534353
2013_27,2013,KKR,CSK,CSK,-0.5129666571672855
2013_29,2013,KXIP,PW,KXIP,-0.34838709677419466
2013_28,2013,DD,MI,DD,-1.4215898546241865
2013_30,2013,CSK,RR,CSK,-0.48298301555280787
2013_31,2013,RCB,PW,RCB,5.840320121951219
2013_32,2013,DD,KXIP,KXIP,-1.1948851527350222
2013_33,2013,KKR,MI,MI,-0.34839509574321603
2013_34,2013,CSK,SRH,CSK,-0.04878048780487809
2013_35,2013,KKR,KXIP,KKR,-0.5146017699115051
2013_37,2013,MI,RCB,MI,2.882769472856019
2013_36,2013,RR,SRH,RR,-1.4134366925064592
2013_39,2013,DD,PW,DD,0.4192073170731705
2013_38,2013,CSK,KKR,CSK,1.048663998967342
2013_40,2013,MI,KXIP,MI,0.2567619047619054
2013_41,2013,RR,RCB,RR,-0.370512396694215
2013_42,2013,PW,CSK,CSK,1.9870701146360972
2013_43,2013,DD,KKR,DD,-1.0831111111111102
2013_44,2013,SRH,MI,SRH,-0.835027027027027
2013_45,2013,CSK,KXIP,CSK,0.5975409836065566
2013_46,2013,PW,RCB,RCB,0.8961447678992922
2013_47,2013,KKR,RR,KKR,-1.1031746031746037
2013_48,2013,SRH,DD,SRH,-1.5485986881335716
2013_50,2013,MI,CSK,MI,1.788306451612903
2013_49,2013,RR,PW,RR,-0.5413708532335111
2013_51,2013,KXIP,RCB,KXIP,-1.1808849557522123
2013_52,2013,MI,KKR,MI,2.3679653679653674
2013_53,2013,RR,DD,RR,-0.9115714285714285
2013_54,2013,SRH,CSK,CSK,3.388608870967742
