batter,position,runs,balls,dismissals,innings,batting_average,batting_strike_rate
NJ Rimmington,10,1,1,0,1,1.0,100.0
NK Patel,1,2,11,1,1,2.0,18.181818181818183
NK Patel,2,57,40,1,1,57.0,142.5
NK Patel,3,4,19,1,1,4.0,21.052631578947366
NK Patel,4,14,22,1,1,14.0,63.63636363636363
NK Patel,6,40,30,0,1,40.0,133.33333333333331
NK Patel,8,4,2,1,1,4.0,200.0
NL McCullum,7,26,23,3,2,8.666666666666666,113.04347826086956
NLTC Perera,1,2,2,0,1,2.0,100.0
NLTC Perera,4,20,18,2,2,10.0,111.11111111111111
NLTC Perera,5,143,100,5,8,28.6,143.0
NLTC Perera,6,124,83,7,9,17.714285714285715,149.39759036144576
NLTC Perera,7,77,71,8,8,9.625,108.45070422535213
NLTC Perera,8,58,52,2,3,29.0,111.53846153846155
NM Coulter-Nile,7,5,10,1,2,5.0,50.0
NM Coulter-Nile,8,47,35,5,9,9.4,134.28571428571428
NM Coulter-Nile,9,30,30,4,5,7.5,100.0
NS Naik,1,7,17,1,1,7.0,41.17647058823529
NS Naik,6,23,33,2,2,11.5,69.6969696969697
NS Naik,7,1,3,1,1,1.0,33.33333333333333
NT Ellis,8,18,19,2,3,9.0,94.73684210526315
NT Ellis,10,1,7,2,2,0.5,14.285714285714285
NV Ojha,1,195,182,9,9,21.666666666666668,107.14285714285714
NV Ojha,2,395,322,15,17,26.333333333333332,122.67080745341615
NV Ojha,3,334,283,10,13,33.4,118.02120141342756
NV Ojha,4,128,122,10,11,12.8,104.91803278688525
NV Ojha,5,168,161,10,12,16.8,104.34782608695652
NV Ojha,6,235,186,13,19,18.076923076923077,126.34408602150538
NV Ojha,7,88,97,7,11,12.571428571428571,90.72164948453609
NV Ojha,8,11,7,0,2,11.0,157.14285714285714
Naman Dhir,2,20,12,1,1,20.0,166.66666666666669
Naman Dhir,3,41,36,4,4,10.25,113.88888888888889
Naman Dhir,7,62,30,0,1,62.0,206.66666666666669
Naman Dhir,8,17,6,1,1,17.0,283.33333333333337
Navdeep Saini,8,13,14,2,4,6.5,92.85714285714286
Navdeep Saini,9,20,24,2,3,10.0,83.33333333333334
Naveen-ul-Haq,9,2,3,0,1,2.0,66.66666666666666
Naveen-ul-Haq,10,14,19,2,2,7.0,73.68421052631578
Naveen-ul-Haq,11,2,4,0,1,2.0,50.0
Nithish Kumar Reddy,4,219,150,5,6,43.8,146.0
Nithish Kumar Reddy,5,28,25,2,2,14.0,112.00000000000001
Nithish Kumar Reddy,6,56,46,2,3,28.0,121.73913043478262
Noor Ahmad,8,1,3,1,1,1.0,33.33333333333333
Noor Ahmad,9,0,1,1,1,0.0,0.0
Noor Ahmad,10,8,12,1,2,8.0,66.66666666666666
Noor Ahmad,11,4,2,1,1,4.0,200.0
