match_id,season,date,team1,team2,venue,city,toss_winner,toss_decision,winner,win_by_runs,win_by_wickets,player_of_match,match_number
2022_10,2022,2022-04-02,GT,DC,MCA Stadium,Pune,DC,field,GT,14,0,LH Ferguson,10
2022_11,2022,2022-04-03,PBKS,CSK,"Brabourne Stadium, Mumbai",Mumbai,CSK,field,PBKS,54,0,LS Livingstone,11
2022_12,2022,2022-04-04,LSG,SRH,"Dr DY Patil Sports Academy, Mumbai",Mumbai,SRH,field,LSG,12,0,Avesh Khan,12
2022_13,2022,2022-04-05,RR,RCB,Wankhede Stadium,Mumbai,RCB,field,RCB,0,4,KD Karthik,13
2022_14,2022,2022-04-06,MI,KKR,MCA Stadium,Pune,KKR,field,KKR,0,5,PJ Cummins,14
2022_15,2022,2022-04-07,DC,LSG,"Dr DY Patil Sports Academy, Mumbai",Mumbai,LSG,field,LSG,0,6,Q de Kock,15
2022_16,2022,2022-04-08,PBKS,GT,"Brabourne Stadium, Mumbai",Mumbai,GT,field,GT,0,6,Shubman Gill,16
2022_18,2022,2022-04-09,MI,RCB,MCA Stadium,Pune,RCB,field,RCB,0,7,Anuj Rawat,18
2022_17,2022,2022-04-09,CSK,SRH,"Dr DY Patil Sports Academy, Mumbai",Mumbai,SRH,field,SRH,0,8,Abhishek Sharma,17
2022_19,2022,2022-04-10,DC,KKR,"Brabourne Stadium, Mumbai",Mumbai,KKR,field,DC,44,0,Kuldeep Yadav,19
2022_20,2022,2022-04-10,RR,LSG,Wankhede Stadium,Mumbai,LSG,field,RR,3,0,YS Chahal,20
2022_21,2022,2022-04-11,GT,SRH,"Dr DY Patil Sports Academy, Mumbai",Mumbai,SRH,field,SRH,0,8,KS Williamson,21
2022_22,2022,2022-04-12,CSK,RCB,"Dr DY Patil Sports Academy, Mumbai",Mumbai,RCB,field,CSK,23,0,S Dube,22
2022_23,2022,2022-04-13,PBKS,MI,MCA Stadium,Pune,MI,field,PBKS,12,0,MA Agarwal,23
2022_24,2022,2022-04-14,GT,RR,"Dr DY Patil Sports Academy, Mumbai",Mumbai,RR,field,GT,37,0,HH Pandya,24
2022_25,2022,2022-04-15,KKR,SRH,"Brabourne Stadium, Mumbai",Mumbai,SRH,field,SRH,0,7,RA Tripathi,25
2022_27,2022,2022-04-16,RCB,DC,Wankhede Stadium,Mumbai,DC,field,RCB,16,0,KD Karthik,27
2022_26,2022,2022-04-16,LSG,MI,"Brabourne Stadium, Mumbai",Mumbai,MI,field,LSG,18,0,KL Rahul,26
2022_28,2022,2022-04-17,CSK,GT,MCA Stadium,Pune,GT,field,GT,0,3,DA Miller,28
2022_29,2022,2022-04-17,PBKS,SRH,"Dr DY Patil Sports Academy, Mumbai",Mumbai,SRH,field,SRH,0,7,Umran Malik,29
2022_30,2022,2022-04-18,RR,KKR,"Brabourne Stadium, Mumbai",Mumbai,KKR,field,RR,7,0,YS Chahal,30
2022_31,2022,2022-04-19,RCB,LSG,"Dr DY Patil Sports Academy, Mumbai",Mumbai,LSG,field,RCB,18,0,F du Plessis,31
2022_32,2022,2022-04-20,PBKS,DC,"Brabourne Stadium, Mumbai",Mumbai,DC,field,DC,0,9,Kuldeep Yadav,32
2022_33,2022,2022-04-21,MI,CSK,"Dr DY Patil Sports Academy, Mumbai",Navi Mumbai,CSK,field,CSK,0,3,Mukesh Choudhary,33
2022_34,2022,2022-04-22,RR,DC,Wankhede Stadium,Mumbai,DC,field,RR,15,0,JC Buttler,34
2022_35,2022,2022-04-23,GT,KKR,"Dr DY Patil Sports Academy, Mumbai",Navi Mumbai,GT,bat,GT,8,0,Rashid Khan,35
2022_36,2022,2022-04-23,RCB,SRH,"Brabourne Stadium, Mumbai",Mumbai,SRH,field,SRH,0,9,M Jansen,36
2022_37,2022,2022-04-24,LSG,MI,Wankhede Stadium,Mumbai,MI,field,LSG,36,0,KL Rahul,37
2022_38,2022,2022-04-25,PBKS,CSK,Wankhede Stadium,Mumbai,CSK,field,PBKS,11,0,S Dhawan,38
2022_39,2022,2022-04-26,RR,RCB,MCA Stadium,Pune,RCB,field,RR,29,0,R Parag,39
2022_40,2022,2022-04-27,SRH,GT,Wankhede Stadium,Mumbai,GT,field,GT,0,5,Umran Malik,40
2022_41,2022,2022-04-28,KKR,DC,Wankhede Stadium,Mumbai,DC,field,DC,0,4,Kuldeep Yadav,41
2022_42,2022,2022-04-29,LSG,PBKS,MCA Stadium,Pune,PBKS,field,LSG,20,0,KH Pandya,42
2022_43,2022,2022-04-30,RR,MI,"Dr DY Patil Sports Academy, Mumbai",Navi Mumbai,MI,field,MI,0,5,SA Yadav,43
2022_44,2022,2022-04-30,RCB,GT,"Brabourne Stadium, Mumbai",Mumbai,RCB,bat,GT,0,6,R Tewatia,44
2022_46,2022,2022-05-01,LSG,DC,Wankhede Stadium,Mumbai,LSG,bat,LSG,6,0,Mohsin Khan,46
2022_45,2022,2022-05-01,CSK,SRH,MCA Stadium,Pune,SRH,field,CSK,13,0,RD Gaikwad,45
2022_47,2022,2022-05-02,RR,KKR,Wankhede Stadium,Mumbai,KKR,field,KKR,0,7,RK Singh,47
2022_48,2022,2022-05-03,GT,PBKS,"Dr DY Patil Sports Academy, Mumbai",Navi Mumbai,GT,bat,PBKS,0,8,K Rabada,48
2022_49,2022,2022-05-04,RCB,CSK,MCA Stadium,Pune,CSK,field,RCB,13,0,HV Patel,49
2022_50,2022,2022-05-05,DC,SRH,"Brabourne Stadium, Mumbai",Mumbai,SRH,field,DC,21,0,DA Warner,50
2022_51,2022,2022-05-06,MI,GT,"Brabourne Stadium, Mumbai",Mumbai,GT,field,MI,5,0,TH David,51
2022_52,2022,2022-05-07,PBKS,RR,Wankhede Stadium,Mumbai,PBKS,bat,RR,0,6,YBK Jaiswal,52
2022_53,2022,2022-05-07,LSG,KKR,MCA Stadium,Pune,KKR,field,LSG,75,0,Avesh Khan,53
